Company,Type,Inches,RAM,Processor Name,Osys,MEMORY,TouchScreen,Graphic Card,KGs,X_RES,Y_RES,Price
ASUS,Thin and Light Laptop,16 Inch,16 GB,AMD Ryzen 7 Octa Core,Windows 11 ,512 GB SSD,No,No,1.8,1920,1200,58650
Infinix,Thin and Light Laptop,15.6 inch,8 GB,Intel Core i3 10th Gen,Windows 11 ,512 GB SSD,No,No,1.76,1920,1080,26990
Avita,Laptop,14.1 Inch,4 GB,Intel Celeron Dual Core,Windows 11 ,128 GB SSD,No,No,,1920,1080,16490
ASUS,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i3 11th Gen,Windows 11 ,256 GB SSD,No,No,1.8,1920,1080,34990
Infinix,Thin and Light Laptop,15.6 inch,8 GB,Intel Core i3 10th Gen,Windows 11 ,512 GB SSD,No,No,1.76,1920,1080,26990
Acer,Gaming Laptop,15.6 Inch,16 GB,Intel Core i7 12th Gen,Windows 11 ,512 GB SSD,No,Yes,2.6,1920,1080,94990
HP,Gaming Laptop,16.1 Inch,16 GB,Intel Core i5 11th Gen,Windows 11 ,512 GB SSD,No,Yes,2.48,1920,1080,57990
CHUWI,Laptop,14.1 inch,8 GB,Intel Celeron Dual Core 11th Gen,Windows 11 ,256 GB SSD,No,No,1.39,1920,1080,19990
CHUWI,Laptop,14 inch,8 GB,Intel Core i3 10th Gen,Windows 11 ,512 GB SSD,No,No,1.4,1920,1200,23990
Avita,Laptop,14.1 Inch,4 GB,Intel Celeron Dual Core,Windows 11 ,128 GB SSD,No,No,,1920,1080,16490
ASUS,Thin and Light Laptop,16 Inch,16 GB,AMD Ryzen 7 Octa Core,Windows 11 ,512 GB SSD,No,No,1.8,1920,1200,58650
HP,Thin and Light Laptop,14 Inch,8 GB,Intel Core i3 11th Gen,Windows 11 ,512 GB SSD,No,No,1.46,1920,1080,39990
HP,Gaming Laptop,15.6 Inch,8 GB,AMD Ryzen 5 Hexa Core,Windows 11 ,512 GB SSD,No,Yes,2.37,1920,1080,54990
MSI,Gaming,15.6 Inch,16 GB,Intel Core i7 12th Gen,Windows 11 ,512 GB SSD,No,Yes,1.86,1920,1080,101990
CHUWI,Laptop,14.1 inch,8 GB,Intel Celeron Dual Core 11th Gen,Windows 11 ,256 GB SSD,No,No,1.39,1920,1080,19990
ASUS,Chromebook,11.6 inch,4 GB,Intel Celeron Dual Core,Chrome OS,32 GB EMMC Storage,No,No,1.2,1366,768,16990
Lenovo,Gaming Laptop,15.6 Inch,8 GB,AMD Ryzen 5 Hexa Core,Windows 11 ,"1 TB HDD,256 GB SSD",No,Yes,2.25,1920,1080,55490
ASUS,Gaming Laptop,17.3 Inch,8 GB,AMD Ryzen 5 Hexa Core,Windows 11 ,512 GB SSD,No,Yes,2.6,1920,1080,63990
ASUS,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i5 11th Gen,Windows 11 ,512 GB SSD,No,No,1.8,1920,1080,47990
ASUS,Thin and Light Laptop,14 inch,4 GB,Intel Celeron Dual Core,Windows 11 ,256 GB SSD,No,No,1.6,1366,768,25990
HP,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i5 12th Gen,Windows 11 ,512 GB SSD,No,No,1.69,1920,1080,54990
ASUS,Gaming Laptop,15.6 Inch,16 GB,AMD Ryzen 5 Hexa Core,Windows 11 ,512 GB SSD,No,Yes,1.8,1920,1080,65990
HP,Notebook,14 inch,8 GB,AMD Athlon Dual Core,Windows 11 ,1 TB HDD,No,No,,1366,768,23490
HP,Thin and Light Laptop,15.6 Inch,8 GB,AMD Ryzen 3 Dual Core,Windows 11 ,512 GB SSD,No,No,1.69,1920,1080,34990
ASUS,Thin and Light Laptop,15.6 Inch,8 GB,AMD Ryzen 3 Quad Core,Windows 11 ,512 GB SSD,No,No,1.63,1920,1080,38990
MSI,Thin and Light Laptop,14 Inch,8 GB,Intel Core i3 12th Gen,Windows 11 ,512 GB SSD,No,No,1.4,1920,1080,37990
ASUS,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i3 11th Gen,Windows 11 ,256 GB SSD,No,No,1.8,1920,1080,34990
DELL,Thin and Light Laptop,14.96 inch,8 GB,Intel Core i5 12th Gen,Windows 11 ,512 GB SSD,No,No,1.65,1920,1080,54990
Avita,Laptop,14.1 Inch,4 GB,Intel Celeron Dual Core,Windows 11 ,128 GB SSD,No,No,,1920,1080,16490
ASUS,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i3 11th Gen,Windows 11 ,256 GB SSD,No,No,1.8,1920,1080,34990
Lenovo,Thin and Light Laptop,39.62 cm,8 GB,Intel Core i3 12th Gen,Windows 11 ,512 GB SSD,No,No,1.63,1920,1080,39990
APPLE,Thin and Light Laptop,13.6 Inch,8 GB,Apple M2,Mac OS Monterey,256 GB SSD,No,No,1.24,2560,1664,107910
Lenovo,Gaming Laptop,15.6 Inch,16 GB,Intel Core i5 12th Gen,Windows 11 ,512 GB SSD,No,Yes,2.31,1920,1080,65990
